epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,632.501,1.32647,3.5552,1.31253,0.50776,0.53851,0.49266,0.29588,1.33423,3.10661,1.23077,0.000412541,0.000412541,0.000412541
2,1148.49,1.32588,2.53129,1.24869,0.53742,0.71995,0.60744,0.33869,1.53298,2.60692,1.34555,0.000747116,0.000747116,0.000747116
3,1808.83,1.34896,2.03381,1.2477,0.47799,0.63649,0.57838,0.3812,1.17152,1.9551,1.09518,0.000999191,0.000999191,0.000999191
4,2650.86,1.31865,1.68799,1.22297,0.53061,0.72757,0.5672,0.3413,1.44197,1.787,1.24044,0.00087875,0.00087875,0.00087875
5,3366.67,1.2263,1.45008,1.16025,0.54449,0.80677,0.63929,0.46382,1.10286,1.43221,1.08677,0.000755,0.000755,0.000755
6,4005.61,1.22327,1.30561,1.16296,0.64447,0.82354,0.70093,0.49049,1.07009,1.2533,1.03485,0.00063125,0.00063125,0.00063125
7,5066.66,1.15384,1.15554,1.11252,0.67227,0.8526,0.76782,0.58426,0.9322,1.04386,0.99018,0.0005075,0.0005075,0.0005075
8,5980.18,1.09766,1.07418,1.08522,0.6889,0.79333,0.78682,0.60865,0.8781,0.99299,0.95305,0.00038375,0.00038375,0.00038375
9,7286.39,1.0431,1.01177,1.05196,0.79849,0.83719,0.85974,0.70027,0.73856,0.90942,0.9085,0.00026,0.00026,0.00026
10,7806.5,1.021,0.94458,1.04181,0.818,0.84902,0.8734,0.70154,0.76897,0.81766,0.89682,0.00013625,0.00013625,0.00013625
